price,living_area,type_of_house,year_of_construction,number_of_rooms,balcony,garden,interior,latitude,longitude
"€3,300 per month",110 m²,Flat,1908,4,Present,Not present,Furnished,52.352600140522,4.9017562470537
"€2,100 per month",70 m²,Flat,1922,3,Present,Not present,Upholstered,52.370877623175,4.8609553745231
"€2,450 per month",68 m²,Flat,1875,3,Not present,Not present,Upholstered,52.37733923693,4.8947125895506
"€2,350 per month",87 m²,Flat,1965,3,Not present,,Furnished,52.327528680184,4.875082398997
"€2,375 per month",74 m²,Flat,2020,2,Not present,,Upholstered or furnished,52.352753825838,4.8545868621617
"€2,350 per month",55 m²,Flat,1891,2,Not present,,Upholstered or furnished,52.356951386127,4.8967184010683
"€2,250 per month",60 m²,Flat,1905,2,Not present,Not present,Furnished,52.371636182646,4.8887874559011
"€1,995 per month",95 m²,Flat,1998,4,Present,,Upholstered,52.35944252981,4.8065543482937
"€2,350 per month",98 m²,Flat,1986,3,Present,Not present,Furnished,52.331779493754,4.8812538529164
"€2,250 per month",55 m²,Flat,1984,2,Present,Not present,Furnished,52.355661849795,4.8880421083036
"€2,650 per month",70 m²,Flat,1926,3,Present,Not present,Upholstered,52.381958667438,4.8527457207591
"€1,750 per month",87 m²,Flat,1880,3,Not present,,,52.381112048934,4.8830851167857
"€3,000 per month",90 m²,Flat,1772,3,Not present,,Furnished,52.369895304865,4.8830657570119
"€2,300 per month",72 m²,Flat,1930,3,Not present,Not present,,52.343972049785,4.893104334114
"€2,500 per month",100 m²,Flat,2004,3,Not present,Not present,Upholstered,52.37170352808,4.9230447197427
"€3,250 per month",70 m²,Flat,1954,3,Present,Not present,Upholstered or furnished,52.370704535532,4.8831446629039
"€7,500 per month",224 m²,Flat,1913,8,Not present,"Present (1 m², located on the south-east)",,52.351510826958,4.8613611502522
"€1,500 per month",55 m²,Flat,1984,3,Not present,Not present,Furnished,52.319675455591,4.9446646906966
"€2,500 per month",109 m²,Flat,2011,3,Present,Not present,Furnished,52.415321313894,4.8986291388625
"€2,450 per month",69 m²,Flat,1925,3,Present,Not present,Upholstered,52.354339588718,4.8856644048173
"€2,750 per month",85 m²,Flat,2021,3,Present,,Upholstered,52.402973822696,4.8877848624877
"€2,350 per month",72 m²,Flat,2021,2,Present,,Upholstered,52.402812001232,4.8877361372473
"€2,350 per month",57 m²,Flat,1929,3,Present,Not present,Furnished,52.348613631148,4.8486709342719
"€1,900 per month",45 m²,Flat,,2,Not present,Not present,Furnished,52.364831211937,4.9378718345917
"€3,250 per month",100 m²,Flat,1905,5,Present,,Furnished,52.352763198264,4.8848309030741
"€4,250 per month",176 m²,House,2012,5,,Present (360 m²),,52.346789499947,5.0118559875318
"€2,500 per month",110 m²,Flat,1910,3,Not present,Not present,Furnished,52.361597683511,4.8975912394701
"€3,250 per month",110 m²,Flat,1993,3,Present,Not present,Furnished,52.377529577744,4.9447043577974
"€2,500 per month",70 m²,Flat,1975,4,Present,Not present,Furnished,52.39086462195,4.8790959342383
"€1,900 per month",58 m²,Flat,1998,2,Present,,Upholstered,52.379093113128,4.8713294283695
"€2,450 per month",60 m²,Flat,,3,Not present,Not present,Upholstered,52.360119020902,4.8932098566105
"€3,200 per month",80 m²,Flat,1720,2,Not present,Not present,Upholstered or furnished,52.365720023858,4.8840507607069
"€2,700 per month",130 m²,Flat,1671,2,Not present,Not present,Upholstered,52.367889765851,4.8848798577621
"€1,850 per month",86 m²,Flat,1929,3,Not present,,,52.343874081102,4.859984116546
"€2,250 per month",80 m²,Flat,,4,Present,Not present,Upholstered,52.294052469634,4.9826504522368
"€3,750 per month",132 m²,Flat,1901,4,Present,Not present,Furnished,52.351767419215,4.9116043925735
"€2,800 per month",76 m²,Flat,1674,3,Not present,Not present,,52.363041603363,4.8861092480379
"€2,450 per month",145 m²,Flat,1935,4,Present,,Upholstered,52.359647020135,4.8498582457622
"€3,500 per month",110 m²,Flat,,3,Not present,Not present,Furnished,52.375993840618,4.8884594610935
"€2,500 per month",75 m²,Flat,2016,3,Not present,Not present,Furnished,52.367732083633,4.9266220450769
"€2,500 per month",75 m²,Flat,,3,Present,Not present,Furnished,52.356104146177,4.888492181139
"€2,250 per month",68 m²,Flat,1934,4,Present,Not present,Upholstered,52.342266819648,4.9090156555565
"€3,895 per month",200 m²,House,,4,Not present,"Present (59 m², located on the south)",Furnished,52.356724796613,4.9989895839536
"€2,050 per month",59 m²,Flat,,2,Present,Not present,Furnished,52.351365763715,4.8017430636255
"€3,750 per month",75 m²,Flat,2019,2,Present,Not present,Furnished,52.360306787188,4.8945824777882
"€3,000 per month",116 m²,House,,2,Not present,Present,Upholstered,52.420776079435,4.902832082996
"€2,500 per month",85 m²,Flat,1763,3,Not present,"Present (30 m², located on the north)",Furnished,52.360881549617,4.8982891264577
"€1,901 per month",128 m²,Flat,2013,3,Not present,Not present,Upholstered,52.393150704031,4.9559315746534
"€5,500 per month",175 m²,Flat,2019,6,Present,"Present (12 m², located on the north-east)",Upholstered,52.339877057293,4.9193940213733
"€8,000 per month",182 m²,Flat,1926,7,Present,"Present (92 m², located on the east)",,52.349655647741,4.8726792967657
"€2,975 per month",123 m²,Flat,2018,4,Not present,Not present,Upholstered,52.374701429986,4.9450325145367
"€2,450 per month",80 m²,Flat,1882,3,Present,Not present,Upholstered,52.367501972359,4.8740924342566
"€2,695 per month",80 m²,Flat,2021,3,Not present,Present,Furnished,52.385197577651,4.9058053316663
"€2,300 per month",71 m²,Flat,1930,3,Present,Not present,,52.343880222158,4.8947929708869
"€2,950 per month",85 m²,Flat,1746,3,Not present,Not present,Upholstered,52.36375642608,4.8878922436014
"€3,850 per month",77 m²,Flat,1906,4,Not present,Not present,Upholstered or furnished,52.363382526032,4.8923743416153
"€1,675 per month",32 m²,Flat,1876,2,Not present,Not present,Upholstered,52.355553785417,4.8901277100972
"€1,890 per month",81 m²,Flat,2017,3,Present,Not present,Furnished,52.351996132209,5.0089929573754
"€2,500 per month",80 m²,Flat,1890,2,Not present,Not present,Furnished,52.374523836033,4.8872718161249
"€1,950 per month",50 m²,Flat,2005,2,Not present,,Upholstered or furnished,52.320827153522,4.9696070263823
"€2,450 per month",66 m²,Flat,1886,3,Present,Not present,Furnished,52.360625903881,4.9271498867405
"€1,550 per month",62 m²,Flat,2012,2,Not present,Present,Upholstered,52.339257752947,4.8997145947743
"€1,885 per month",88 m²,Flat,1969,3,Present,Not present,Shell,52.324861905309,4.8593150079116
"€2,650 per month",68 m²,Flat,1933,3,Not present,"Present (32 m², located on the east)",Furnished,52.351332900961,4.8477866492076
"€1,625 per month",50 m²,Flat,1970,2,Present,Not present,Upholstered,52.386232916286,4.8847014338899
"€1,900 per month",55 m²,Flat,1982,2,Not present,Present (20 m²),Furnished,52.365119112501,4.8821950676933
"€2,450 per month",90 m²,Flat,1997,3,Present,Not present,Furnished,52.345276477866,4.9154257176886
"€3,000 per month",73 m²,Flat,1911,3,Present,Not present,Furnished,52.358486049908,4.857491111916
"€4,500 per month",110 m²,Flat,1900,4,Not present,,Upholstered,52.362312808575,4.878025447082
"€3,250 per month",110 m²,Flat,1715,3,Present,,Furnished,52.361398844873,4.8929983728478
"€2,250 per month",79 m²,Flat,1961,3,Present,,Furnished,52.363689384003,4.8357150319568
"€3,250 per month",70 m²,Flat,1895,3,Present,Not present,Furnished,52.358550162153,4.9201053889303
"€3,500 per month",129 m²,Flat,1910,4,Present,Not present,Upholstered,52.355106897072,4.8801218879152
"€2,400 per month",107 m²,Flat,2019,3,Present,Not present,Upholstered,52.366507944988,4.8360045055349
"€2,032 per month",64 m²,Flat,2022,3,Not present,Not present,,52.394180694679,4.9009522999465
"€2,750 per month",70 m²,Flat,1903,3,Not present,"Present (12 m², located on the south-west)",Upholstered,52.374624631632,4.8487663188163
"€1,850 per month",50 m²,Flat,,3,Present,Not present,Upholstered,52.37810849719,4.8559790439308
"€1,850 per month",54 m²,Flat,1960,2,Present,Not present,Upholstered,52.324388536009,4.8847704644894
"€3,800 per month",132 m²,Flat,2005,5,Not present,Not present,Upholstered,52.355041739878,4.7981129641864
"€2,500 per month",109 m²,Flat,2009,4,Present,Not present,Furnished,52.36454606004,4.8042603626457
"€1,975 per month",55 m²,Flat,1925,3,Present,Not present,Furnished,52.34582147388,4.9056900447093
"€2,450 per month",95 m²,Flat,1997,3,Present,Not present,Furnished,52.370260405449,4.9380370977408
"€2,400 per month",67 m²,Flat,1822,3,Present,,Upholstered,52.361779764092,4.9003345450661
"€4,450 per month",147 m²,House,2001,5,Not present,"Present (55 m², located on the south-west)",Upholstered,52.345377621042,4.9511738434189
"€4,950 per month",114 m²,Flat,2008,3,Not present,Present,Upholstered or furnished,52.336902984621,4.8709539844063
"€2,975 per month",66 m²,Flat,1883,3,Present,Not present,Furnished,52.356802875847,4.9030901165692
"€2,250 per month",50 m²,Flat,1880,2,Not present,Not present,Furnished,52.368600470133,4.8871623734919
"€2,700 per month",70 m²,Flat,1878,3,Not present,"Present (28 m², located on the west)",,52.356304422068,4.8973457107403
"€4,750 per month",148 m²,Flat,1932,4,Present,Not present,Furnished,52.344768364734,4.8712000486597
"€2,250 per month",44 m²,Flat,Before 1906,3,Not present,Not present,Upholstered,52.360001010772,4.9259361166863
